[2014-10-17 12:40:58] EDIT heritage/models/db1.py: 0
[2014-10-17 12:41:05] EDIT heritage/models/db1.py: 0
[2014-10-17 12:42:31] EDIT heritage/models/db1.py: 2
[2014-10-17 12:42:37] EDIT heritage/models/db1.py: 0
[2014-10-17 12:48:09] EDIT heritage/models/db1.py: 0
[2014-10-17 12:48:15] EDIT heritage/models/db1.py: 0
[2014-10-17 12:49:46] EDIT heritage/models/db1.py: 1
[2014-10-17 12:49:55] EDIT heritage/models/db1.py: 0
[2014-10-17 12:51:55] EDIT heritage/views/default/index.html: 0
[2014-10-17 12:52:27] EDIT heritage/controllers/default.py: 0
[2014-10-17 12:53:14] EDIT heritage/models/db1.py: 1
[2014-10-17 12:53:56] EDIT heritage/controllers/default.py: 0
[2014-10-17 12:54:20] EDIT heritage/controllers/default.py: 0
[2014-10-17 12:56:13] EDIT heritage/views/default/staff.html: 0
[2014-10-17 12:56:25] EDIT heritage/views/default/staff.html: 0
[2014-10-17 12:56:56] EDIT heritage/models/db1.py: 0
[2014-10-17 12:57:27] EDIT heritage/views/default/staff.html: 2
[2014-10-17 12:57:37] EDIT heritage/views/default/staff.html: -9
[2014-10-17 12:58:00] EDIT heritage/models/db1.py: 0
[2014-10-17 12:58:06] EDIT heritage/models/db1.py: 0
[2014-10-17 12:58:13] EDIT heritage/views/default/staff.html: 0
[2014-10-17 12:58:47] EDIT heritage/controllers/default.py: 0
[2014-10-17 13:11:27] EDIT heritage/controllers/default.py: 0
[2014-10-17 13:14:07] EDIT heritage/views/default/staff.html: 0
[2014-10-17 13:14:31] EDIT heritage/views/default/staff.html: 0
[2014-10-17 13:17:19] EDIT heritage/views/default/staff.html: 0
[2014-10-17 13:17:32] EDIT heritage/views/default/staff.html: 0
[2014-10-17 13:17:44] EDIT heritage/views/default/staff.html: -14
[2014-10-17 13:20:57] EDIT heritage/controllers/default.py: 0
[2014-10-17 13:24:53] EDIT heritage/models/db1.py: 2
[2014-10-17 13:25:02] EDIT heritage/models/db1.py: 0
[2014-10-17 13:26:40] EDIT heritage/controllers/default.py: 1
[2014-10-17 13:26:54] EDIT heritage/controllers/default.py: 0
